cleaned_team_batting,phase,total_runs,balls,wickets,dot_balls,boundaries,fours,sixes,run_rate,balls_played_per_wkt,dot_ball_pct,boundary_pct,dismissal_rate,six_pct,team_performance_index
CSK,Death,3510,2011,141,656,454,244,210,10.47,14.26,0.33,0.23,0.07,10.44,1.513648830544227
CSK,Middle,6417,4801,212,1594,695,425,270,8.02,22.65,0.33,0.14,0.04,5.62,-0.3750214087186674
CSK,Powerplay,4795,3727,129,1701,675,529,146,7.72,28.89,0.46,0.18,0.03,3.92,-1.5520876144724278
DC,Death,2937,1827,141,603,364,219,145,9.65,12.96,0.33,0.2,0.08,7.94,1.268678056884048
DC,Middle,6183,4668,224,1567,684,445,239,7.95,20.84,0.34,0.15,0.05,5.12,-0.2586141109135505
DC,Powerplay,5088,3694,161,1683,781,613,168,8.26,22.94,0.46,0.21,0.04,4.55,-1.0420083003964877
GT,Death,2322,1337,113,438,301,163,138,10.42,11.83,0.33,0.23,0.08,10.32,1.685069253442658
GT,Middle,4694,3289,128,962,533,366,167,8.56,25.7,0.29,0.16,0.04,5.08,0.21141965248520272
GT,Powerplay,3414,2578,80,1118,479,398,81,7.95,32.22,0.43,0.19,0.03,3.14,-1.2018081712429123
KKR,Death,2721,1667,158,665,368,211,157,9.79,10.55,0.4,0.22,0.09,9.42,1.0577330506881328
KKR,Middle,6276,4511,233,1656,746,436,310,8.35,19.36,0.37,0.17,0.05,6.87,-0.2529608173253116
KKR,Powerplay,4811,3625,157,1788,715,530,185,7.96,23.09,0.49,0.2,0.04,5.1,-1.4225169734964305
LSG,Death,2235,1343,104,483,284,163,121,9.99,12.91,0.36,0.21,0.08,9.01,1.2204640260172859
LSG,Middle,4617,3203,153,1067,530,305,225,8.65,20.93,0.33,0.17,0.05,7.02,0.17392405804782274
LSG,Powerplay,3262,2477,94,1164,455,321,134,7.9,26.35,0.47,0.18,0.04,5.41,-1.3556753374104151
MI,Death,3154,1821,174,658,423,226,197,10.39,10.47,0.36,0.23,0.1,10.82,1.8351410543064721
MI,Middle,6671,4788,224,1636,800,505,295,8.36,21.38,0.34,0.17,0.05,6.16,-0.02564408111177585
MI,Powerplay,5287,3828,130,1747,776,564,212,8.29,29.45,0.46,0.2,0.03,5.54,-1.2500222021096747
PBKS,Death,3012,1795,143,658,394,210,184,10.07,12.55,0.37,0.22,0.08,10.25,1.208635515024584
PBKS,Middle,6364,4599,226,1660,736,412,324,8.3,20.35,0.36,0.16,0.05,7.05,-0.22817692210242585
PBKS,Powerplay,4906,3616,153,1633,715,546,169,8.14,23.63,0.45,0.2,0.04,4.67,-1.0474536350440302
RCB,Death,3209,1909,168,684,422,238,184,10.09,11.36,0.36,0.22,0.09,9.64,1.4846179260612675
RCB,Middle,6703,4923,224,1657,727,439,288,8.17,21.98,0.34,0.15,0.05,5.85,-0.16360795989220533
RCB,Powerplay,5184,3869,133,1690,726,564,162,8.04,29.09,0.44,0.19,0.03,4.19,-1.2372747768201873
RR,Death,3171,1906,162,658,404,216,188,9.98,11.77,0.35,0.21,0.08,9.86,1.29047832287505
RR,Middle,6531,4815,231,1677,730,426,304,8.14,20.84,0.35,0.15,0.05,6.31,-0.2508961023902133
RR,Powerplay,5202,3780,141,1810,813,614,199,8.26,26.81,0.48,0.22,0.04,5.26,-1.1627172609375034
SRH,Death,2990,1866,177,646,378,223,155,9.61,10.54,0.35,0.2,0.09,8.31,1.2957514246568895
SRH,Middle,6323,4678,205,1538,659,377,282,8.11,22.82,0.33,0.14,0.04,6.03,-0.3361552560281176
SRH,Powerplay,5112,3729,140,1705,738,554,184,8.23,26.64,0.46,0.2,0.04,4.93,-1.0829202406213048
