season,phase,deliveries,total_runs,wickets,boundaries,fours,sixes,dot_balls,run_rate,balls_per_wicket,dot_ball_percentage,boundary_percentage,Six_Rate
2008,Death,2165,3568,211,463,285,178,723,9.89,10.260663507109005,33.39,21.39,8.22
2008,Middle,6091,8014,269,932,645,286,2278,7.89,22.643122676579925,37.4,15.3,4.7
2008,Powerplay,4935,5939,198,883,736,142,2605,7.22,24.924242424242426,52.79,17.89,2.88
2009,Death,2316,3472,203,385,247,138,755,8.99,11.408866995073891,32.6,16.62,5.96
2009,Middle,5831,6680,255,609,429,179,2192,6.87,22.866666666666667,37.59,10.44,3.07
2009,Powerplay,4677,5110,205,703,560,141,2585,6.56,22.814634146341465,55.27,15.03,3.01
2010,Death,2539,4049,214,498,318,180,819,9.57,11.86448598130841,32.26,19.61,7.09
2010,Middle,6493,8080,288,821,559,260,2278,7.47,22.54513888888889,35.08,12.64,4.0
2010,Powerplay,5207,6463,205,946,808,137,2612,7.45,25.4,50.16,18.17,2.63
2011,Death,2867,4246,247,491,314,177,972,8.89,11.607287449392713,33.9,17.13,6.17
2011,Middle,7506,9387,319,1029,723,305,2749,7.5,23.529780564263323,36.62,13.71,4.06
2011,Powerplay,6036,6830,221,960,816,138,3185,6.79,27.312217194570135,52.77,15.9,2.29
2012,Death,3212,5035,293,606,375,229,1011,9.41,10.96245733788396,31.48,18.87,7.13
2012,Middle,8121,10048,342,1017,691,325,2832,7.42,23.74561403508772,34.87,12.52,4.0
2012,Powerplay,6434,7370,223,1029,845,179,3260,6.87,28.85201793721973,50.67,15.99,2.78
2013,Death,3185,5068,287,644,392,251,1088,9.55,11.097560975609756,34.16,20.22,7.88
2013,Middle,8045,9794,356,1019,730,287,2923,7.3,22.598314606741575,36.33,12.67,3.57
2013,Powerplay,6428,7115,240,1012,883,128,3382,6.64,26.783333333333335,52.61,15.74,1.99
2014,Death,2476,4076,200,506,292,214,813,9.88,12.38,32.84,20.44,8.64
2014,Middle,6353,8276,261,874,546,328,2214,7.82,24.340996168582375,34.85,13.76,5.16
2014,Powerplay,5058,6066,189,850,683,162,2575,7.2,26.761904761904763,50.91,16.81,3.2
2015,Death,2314,3820,213,484,282,202,742,9.9,10.863849765258216,32.07,20.92,8.73
2015,Middle,5791,7530,254,831,548,283,2071,7.8,22.799212598425196,35.76,14.35,4.89
2015,Powerplay,4729,5716,181,823,671,151,2404,7.25,26.12707182320442,50.84,17.4,3.19
2016,Death,2355,3885,210,480,294,186,773,9.9,11.214285714285714,32.82,20.38,7.9
2016,Middle,6161,8147,256,867,592,275,1987,7.93,24.06640625,32.25,14.07,4.46
2016,Powerplay,4863,5921,162,814,665,145,2252,7.31,30.01851851851852,46.31,16.74,2.98
2017,Death,2329,3668,213,443,257,186,771,9.45,10.934272300469484,33.1,19.02,7.99
2017,Middle,6159,8134,270,885,567,317,2064,7.92,22.81111111111111,33.51,14.37,5.15
2017,Powerplay,4954,6485,197,934,747,185,2238,7.85,25.14720812182741,45.18,18.85,3.73
2018,Death,2563,4244,209,531,282,248,855,9.94,12.263157894736842,33.36,20.72,9.68
2018,Middle,6264,8295,300,915,573,341,2109,7.95,20.88,33.67,14.61,5.44
2018,Powerplay,4932,6490,185,960,719,237,2268,7.9,26.65945945945946,45.99,19.46,4.81
2019,Death,2522,4158,221,528,291,237,881,9.89,11.411764705882353,34.93,20.94,9.4
2019,Middle,6327,8161,264,879,564,314,2190,7.74,23.96590909090909,34.61,13.89,4.96
2019,Powerplay,4902,6284,163,926,721,200,2291,7.69,30.073619631901842,46.74,18.89,4.08
2020,Death,2468,4055,195,512,301,211,813,9.86,12.656410256410256,32.94,20.75,8.55
2020,Middle,6180,7932,257,806,514,292,2042,7.7,24.04669260700389,33.04,13.04,4.72
2020,Powerplay,4875,5971,169,828,657,170,2300,7.35,28.846153846153847,47.18,16.98,3.49
2021,Death,2577,3881,229,478,297,181,959,9.04,11.253275109170305,37.21,18.55,7.02
2021,Middle,6481,8172,306,857,537,320,2304,7.57,21.179738562091504,35.55,13.22,4.94
2021,Powerplay,5107,6251,171,863,684,178,2362,7.34,29.86549707602339,46.25,16.9,3.49
2022,Death,3289,5514,273,721,395,326,1190,10.06,12.047619047619047,36.18,21.92,9.91
2022,Middle,8184,10926,390,1223,736,487,2960,8.01,20.984615384615385,36.17,14.94,5.95
2022,Powerplay,6439,7955,249,1138,889,249,3217,7.41,25.859437751004016,49.96,17.67,3.87
2023,Death,3244,5442,278,695,378,317,1129,10.07,11.66906474820144,34.8,21.42,9.77
2023,Middle,7877,10940,376,1236,734,502,2637,8.33,20.949468085106382,33.48,15.69,6.37
2023,Powerplay,6186,8459,234,1263,996,266,2818,8.2,26.435897435897434,45.55,20.42,4.3
2024,Death,3053,5373,253,715,388,327,1084,10.56,12.067193675889328,35.51,23.42,10.71
2024,Middle,7846,11423,376,1337,776,560,2582,8.74,20.867021276595743,32.91,17.04,7.14
2024,Powerplay,6204,9175,254,1387,1011,374,2729,8.87,24.4251968503937,43.99,22.36,6.03
2025,Death,2851,4996,253,671,354,317,974,10.51,11.268774703557312,34.16,23.54,11.12
2025,Middle,7707,11386,355,1383,839,543,2489,8.86,21.70985915492958,32.3,17.94,7.05
2025,Powerplay,6112,9250,241,1400,996,403,2613,9.08,25.360995850622405,42.75,22.91,6.59
