cleaned_team_bowling,phase,total_runs,balls,wickets,dot_balls,boundaries,fours,sixes,economy_rate,balls_bowled_per_wkt,dot_ball_pct,boundary_pct,dismissal_rate,six_pct,team_performance_index
CSK,Death,3051,1933,167,745,376,227,149,9.47,11.57,0.39,0.19,0.09,7.71,-1.2676447619107272
CSK,Middle,6257,4758,220,1635,654,384,270,7.89,21.63,0.34,0.14,0.05,5.67,1.2335832383249945
CSK,Powerplay,5040,3731,136,1652,736,560,176,8.11,27.43,0.44,0.2,0.04,4.72,0.8416102058930919
DC,Death,3455,2027,162,726,463,250,213,10.23,12.51,0.36,0.23,0.08,10.51,-1.9553861433359445
DC,Middle,6417,4746,221,1540,700,423,277,8.11,21.48,0.32,0.15,0.05,5.84,0.978306824635435
DC,Powerplay,4859,3699,145,1673,689,523,166,7.88,25.51,0.45,0.19,0.04,4.49,0.9894625637994816
GT,Death,2110,1275,117,415,267,132,135,9.93,10.9,0.33,0.21,0.09,10.59,-1.8205671241928842
GT,Middle,4509,3194,153,1078,523,301,222,8.47,20.88,0.34,0.16,0.05,6.95,0.6713083473327903
GT,Powerplay,3554,2575,111,1251,546,415,131,8.28,23.2,0.49,0.21,0.04,5.09,0.4559210972447931
KKR,Death,2808,1676,143,610,366,188,178,10.05,11.72,0.36,0.22,0.09,10.62,-1.9463681241319146
KKR,Middle,5917,4563,238,1664,657,398,259,7.78,19.17,0.36,0.14,0.05,5.68,1.1720155930478389
KKR,Powerplay,4870,3615,135,1636,690,513,177,8.08,26.78,0.45,0.19,0.04,4.9,0.9681447930073392
LSG,Death,2206,1284,108,440,287,154,133,10.31,11.89,0.34,0.22,0.08,10.36,-1.8970623343352953
LSG,Middle,4314,3144,153,1088,501,319,182,8.23,20.55,0.35,0.16,0.05,5.79,0.7645369029279083
LSG,Powerplay,3666,2498,83,1086,557,424,133,8.81,30.1,0.43,0.22,0.03,5.32,0.5592499032441087
MI,Death,2976,1841,164,670,382,212,170,9.7,11.23,0.36,0.21,0.09,9.23,-1.6831650377615706
MI,Middle,6925,4948,234,1712,793,480,313,8.4,21.15,0.35,0.16,0.05,6.33,0.7223133131900195
MI,Powerplay,5014,3854,157,1869,731,561,170,7.81,24.55,0.48,0.19,0.04,4.41,0.9938925286838518
PBKS,Death,3057,1751,173,587,404,231,173,10.48,10.12,0.34,0.23,0.1,9.88,-2.5306693683822
PBKS,Middle,6382,4546,195,1514,732,454,278,8.42,23.31,0.33,0.16,0.04,6.12,0.9738420228483502
PBKS,Powerplay,4868,3617,123,1683,723,572,151,8.08,29.41,0.47,0.2,0.03,4.17,1.1435166622066206
RCB,Death,3043,1887,153,705,386,209,177,9.68,12.33,0.37,0.2,0.08,9.38,-1.3061991149179786
RCB,Middle,6682,4791,240,1659,781,449,332,8.37,19.96,0.35,0.16,0.05,6.93,0.6752681574902057
RCB,Powerplay,5161,3857,153,1772,746,546,200,8.03,25.21,0.46,0.19,0.04,5.19,0.9181409137175645
RR,Death,3521,2012,143,657,457,256,201,10.5,14.07,0.33,0.23,0.07,9.99,-1.8480930913991969
RR,Middle,6837,4873,203,1545,745,455,290,8.42,24.0,0.32,0.15,0.04,5.95,1.139707374915285
RR,Powerplay,4896,3790,137,1744,698,549,149,7.75,27.66,0.46,0.18,0.04,3.93,1.299326462752534
SRH,Death,3034,1796,151,594,404,254,150,10.14,11.89,0.33,0.22,0.08,8.35,-1.8323052634404218
SRH,Middle,6539,4712,203,1579,754,473,281,8.33,23.21,0.34,0.16,0.04,5.96,1.0147636526477966
SRH,Powerplay,5133,3687,138,1673,757,570,187,8.35,26.72,0.45,0.21,0.04,5.07,0.5725498058981251
